Date,Close/Last,Volume,Open,High,Low
06/17/2024,$887.41,8911764,$857.40,$921.91,$828.09
06/14/2024,$844.54,6598781,$846.93,$872.00,$825.61
06/13/2024,$871.10,11613680,$785.00,$883.17,$784.00
06/12/2024,$774.74,4119000,$785.00,$801.3539,$766.16
06/11/2024,$767.61,3038731,$780.00,$784.98,$763.085
06/10/2024,$786.86,4878953,$761.65,$804.00,$753.03
06/07/2024,$769.11,3444935,$763.64,$782.9099,$758.47
06/06/2024,$777.92,5033935,$805.00,$808.00,$755.55
06/05/2024,$802.52,6307489,$795.00,$822.54,$780.18
06/04/2024,$771.61,4078258,$759.00,$780.66,$754.00
06/03/2024,$770.59,6155758,$802.00,$806.05,$741.22
05/31/2024,$784.51,7407978,$816.00,$819.65,$760.01
05/30/2024,$827.94,4747575,$832.00,$845.24,$815.20
05/29/2024,$839.72,4932341,$858.63,$863.80,$827.0901
05/28/2024,$874.72,6235137,$899.00,$909.65,$865.00
05/24/2024,$883.88,6850442,$858.00,$899.20,$838.61
05/23/2024,$847.38,11460230,$934.49,$972.31,$835.6601
05/22/2024,$873.27,5632225,$910.12,$911.65,$862.5139
05/21/2024,$898.95,5918834,$889.00,$939.94,$877.77
05/20/2024,$903.94,5363130,$902.00,$925.25,$870.05
05/17/2024,$887.89,5192367,$925.20,$931.99,$878.00
05/16/2024,$904.40,7009847,$924.00,$971.0199,$901.00
05/15/2024,$952.36,9752896,$844.01,$954.4999,$835.27
05/14/2024,$822.37,4996223,$775.00,$829.2399,$766.7697
05/13/2024,$782.76,2814702,$810.82,$811.99,$762.63
05/10/2024,$798.50,3791338,$817.44,$833.3899,$793.25
05/09/2024,$799.70,3882079,$828.51,$830.86,$790.51
05/08/2024,$822.64,3719604,$802.35,$843.7688,$800.38
05/07/2024,$819.29,4079264,$811.00,$834.20,$806.26
05/06/2024,$830.35,5342834,$791.83,$833.0751,$786.9001
05/03/2024,$782.70,5232903,$770.00,$801.59,$768.00
05/02/2024,$762.52,6496180,$767.16,$768.21,$709.12
05/01/2024,$738.30,13536290,$777.36,$781.35,$700.00
04/30/2024,$858.80,7369301,$876.00,$910.84,$851.08
04/29/2024,$890.35,5866306,$839.00,$897.84,$830.00
04/26/2024,$857.44,7068025,$799.22,$861.00,$788.05
04/25/2024,$787.40,5081683,$725.96,$796.86,$721.12
04/24/2024,$754.72,6740386,$788.99,$806.99,$737.05
04/23/2024,$761.86,8342646,$730.00,$793.37,$714.06
04/22/2024,$717.02,9303530,$731.92,$733.84,$671.00
04/19/2024,$713.65,17238500,$871.00,$890.83,$710.95
04/18/2024,$928.48,4300677,$961.88,$972.99,$917.46
04/17/2024,$960.08,7167459,$992.008,$1020.33,$949.41
04/16/2024,$976.30,7121449,$901.32,$981.46,$893.00
04/15/2024,$882.75,4201089,$912.00,$936.36,$881.08
04/12/2024,$898.49,3332228,$920.30,$924.99,$894.00
04/11/2024,$937.28,3677034,$912.00,$945.3635,$907.1932
04/10/2024,$908.54,4137316,$876.145,$924.00,$871.10
04/09/2024,$904.20,4032227,$925.00,$937.24,$881.00
04/08/2024,$928.50,4316716,$962.495,$964.00,$902.00
04/05/2024,$948.02,5344482,$968.00,$981.99,$932.02
04/04/2024,$957.99,5816629,$1030.70,$1057.18,$956.1601
04/03/2024,$1015.57,6182434,$975.00,$1042.4499,$965.825
04/02/2024,$1009.91,4230101,$1000.00,$1012.60,$975.09
04/01/2024,$1037.15,5185227,$1010.00,$1069.00,$1005.00
03/28/2024,$1010.03,3463092,$1008.62,$1033.00,$997.02
03/27/2024,$1023.29,5257844,$1042.12,$1047.8108,$986.34
03/26/2024,$1025.06,6356346,$1087.00,$1106.11,$1022.11
03/25/2024,$1042.79,7017240,$972.75,$1072.7399,$967.0001
03/22/2024,$972.74,5069105,$954.54,$985.47,$947.20
