Date,Close/Last,Volume,Open,High,Low
06/24/2024,$169.91,1154054,$174.50,$176.7377,$169.33
06/21/2024,$174.50,1729302,$175.14,$175.14,$171.1301
06/20/2024,$175.56,1703994,$184.48,$184.48,$173.26
06/18/2024,$185.28,1144994,$184.98,$187.80,$181.20
06/17/2024,$185.89,1149552,$186.03,$189.00,$180.0714
06/14/2024,$186.06,1072831,$189.10,$189.82,$183.66
06/13/2024,$190.82,1175515,$192.34,$194.38,$186.31
06/12/2024,$192.34,1356199,$188.42,$193.11,$184.46
06/11/2024,$185.79,1458431,$186.52,$187.71,$180.42
06/10/2024,$185.13,2370751,$174.56,$185.55,$173.665
06/07/2024,$175.19,1073277,$175.66,$177.30,$173.0001
06/06/2024,$175.73,1531481,$171.65,$178.85,$171.12
06/05/2024,$172.70,1133628,$168.69,$173.68,$167.85
06/04/2024,$169.65,1286434,$173.75,$173.755,$167.00
06/03/2024,$175.66,2037572,$174.91,$179.5299,$172.55
05/31/2024,$172.87,3379667,$176.48,$177.125,$169.29
05/30/2024,$178.47,4040514,$188.08,$189.45,$176.57
05/29/2024,$189.45,10339100,$155.56,$196.99,$155.56
05/28/2024,$152.39,2687146,$151.50,$154.87,$150.77
05/24/2024,$150.17,1512796,$147.27,$151.4627,$146.6416
05/23/2024,$145.88,1409293,$143.39,$148.24,$142.41
05/22/2024,$141.88,1291881,$145.14,$145.8061,$141.40
05/21/2024,$144.44,1118274,$144.80,$146.93,$144.12
05/20/2024,$144.84,1546814,$140.00,$146.31,$140.00
05/17/2024,$139.61,1434415,$137.75,$139.97,$135.39
05/16/2024,$135.69,716227,$136.94,$138.14,$135.37
05/15/2024,$137.68,1327489,$136.45,$138.00,$134.35
05/14/2024,$136.31,1260744,$133.85,$136.46,$133.01
05/13/2024,$132.42,975674,$131.19,$132.97,$128.63
05/10/2024,$129.71,1094800,$133.55,$134.49,$128.50
05/09/2024,$132.33,939862,$128.21,$132.59,$128.03
05/08/2024,$128.60,794590,$127.40,$131.25,$127.11
05/07/2024,$128.42,803722,$130.78,$131.795,$128.41
05/06/2024,$129.38,1090516,$129.96,$131.54,$127.77
05/03/2024,$128.76,1177043,$126.62,$129.175,$126.29
05/02/2024,$124.90,943198,$122.80,$126.60,$122.00
05/01/2024,$120.41,1074204,$120.62,$124.345,$118.03
04/30/2024,$121.52,1172884,$125.49,$126.01,$121.39
04/29/2024,$125.39,1388919,$123.00,$126.43,$121.64
04/26/2024,$122.08,1109869,$116.35,$122.21,$115.34
04/25/2024,$115.45,943097,$113.00,$115.91,$111.412
04/24/2024,$115.09,985819,$120.00,$120.52,$115.00
04/23/2024,$119.71,1035173,$116.19,$119.91,$115.07
04/22/2024,$114.84,1216826,$113.00,$115.81,$111.22
04/19/2024,$110.36,1088911,$108.92,$112.28,$108.53
04/18/2024,$109.32,1630367,$113.96,$113.9725,$108.84
04/17/2024,$113.48,1171225,$117.76,$118.1458,$111.40
04/16/2024,$115.89,1475231,$111.90,$116.73,$109.561
04/15/2024,$112.84,1336044,$113.10,$115.00,$110.92
04/12/2024,$111.83,1027469,$114.98,$115.80,$111.33
04/11/2024,$116.47,1103435,$114.70,$117.25,$113.86
04/10/2024,$114.33,1666698,$114.94,$118.15,$113.62
04/09/2024,$116.12,1780082,$120.54,$120.54,$115.20
04/08/2024,$119.42,1468935,$122.00,$123.32,$117.58
04/05/2024,$120.79,1309504,$123.42,$124.18,$120.13
04/04/2024,$122.96,1271798,$132.48,$132.65,$122.86
04/03/2024,$130.73,1281991,$131.40,$134.115,$128.405
04/02/2024,$131.40,1781642,$128.00,$131.47,$123.78
04/01/2024,$131.84,1971793,$125.27,$131.91,$125.27
03/28/2024,$125.33,1352162,$120.53,$125.99,$119.4699
03/27/2024,$121.36,1026976,$121.76,$123.73,$120.68
03/26/2024,$121.97,1666294,$121.17,$125.2399,$119.70
03/25/2024,$121.17,2849135,$134.00,$134.59,$120.87
03/22/2024,$134.97,1020285,$135.606,$137.44,$134.78
03/21/2024,$137.42,1498442,$136.68,$139.11,$135.22
03/20/2024,$135.04,1090625,$129.98,$135.70,$128.70
03/19/2024,$131.08,1110843,$129.00,$131.36,$128.38
03/18/2024,$130.82,1772370,$127.63,$132.47,$125.80
03/15/2024,$125.89,4426296,$125.00,$127.20,$122.50
03/14/2024,$125.36,1514692,$127.15,$129.6399,$123.615
03/13/2024,$125.97,1755556,$121.37,$126.07,$120.56
03/12/2024,$120.56,1736796,$117.15,$120.74,$116.5222
03/11/2024,$116.54,2273946,$117.60,$119.33,$114.49
03/08/2024,$118.64,3986879,$127.95,$129.00,$118.29
03/07/2024,$127.78,3486266,$137.78,$138.30,$125.50
03/06/2024,$134.99,6042380,$139.55,$139.8899,$130.691
03/05/2024,$139.95,3409456,$135.72,$140.28,$134.87
03/04/2024,$137.30,2894687,$132.20,$139.4796,$132.20
03/01/2024,$131.37,1611780,$128.24,$131.73,$127.76
02/29/2024,$127.76,1308708,$127.45,$128.675,$125.81
02/28/2024,$126.00,1134992,$124.50,$127.12,$123.61
02/27/2024,$125.78,1400867,$126.50,$128.688,$125.78
02/26/2024,$126.21,1674962,$124.14,$127.69,$123.73
