Date,Close/Last,Volume,Open,High,Low
06/24/2024,$119.50,4452539,$113.09,$120.84,$111.55
06/21/2024,$112.99,4408168,$109.85,$112.99,$107.75
06/20/2024,$109.85,3087418,$109.99,$113.43,$106.32
06/18/2024,$110.78,2709674,$107.80,$111.75,$107.55
06/17/2024,$108.94,3423883,$101.91,$109.75,$100.05
06/14/2024,$103.06,2772546,$105.55,$105.55,$101.2785
06/13/2024,$106.74,4370912,$111.01,$111.01,$105.27
06/12/2024,$111.07,7976350,$107.99,$115.00,$107.0101
06/11/2024,$104.12,3571460,$105.86,$106.57,$101.14
06/10/2024,$108.05,4357781,$106.55,$110.66,$105.56
06/07/2024,$106.56,5491332,$103.20,$110.94,$102.61
06/06/2024,$104.67,4948036,$107.73,$109.89,$103.27
06/05/2024,$103.04,3482689,$101.50,$105.19,$100.60
06/04/2024,$101.10,3115451,$98.80,$101.49,$97.92
06/03/2024,$98.96,2398098,$103.28,$104.00,$97.551
05/31/2024,$99.98,3733686,$103.04,$103.30,$98.075
05/30/2024,$102.39,3168414,$105.49,$107.665,$101.68
05/29/2024,$105.05,2762604,$103.00,$107.2697,$101.54
05/28/2024,$104.59,3399858,$110.75,$111.01,$103.31
05/24/2024,$109.15,2448453,$111.91,$112.79,$108.57
05/23/2024,$109.91,3252397,$116.00,$116.65,$108.66
05/22/2024,$115.72,2441328,$115.98,$118.43,$114.4231
05/21/2024,$115.03,2195275,$116.67,$117.71,$113.68
05/20/2024,$117.50,2547870,$116.40,$120.92,$114.88
05/17/2024,$117.50,2737252,$117.83,$118.932,$115.48
05/16/2024,$117.93,3535881,$120.36,$123.44,$117.29
05/15/2024,$121.07,3780105,$123.12,$123.51,$117.7354
05/14/2024,$120.95,4131770,$121.54,$124.62,$118.37
05/13/2024,$116.90,4543068,$119.60,$122.93,$116.6385
05/10/2024,$117.00,3012127,$119.80,$120.06,$115.262
05/09/2024,$120.41,3317610,$115.25,$121.22,$112.70
05/08/2024,$114.42,3655493,$114.91,$116.40,$112.62
05/07/2024,$116.66,5116772,$122.60,$124.27,$116.40
05/06/2024,$122.97,7062159,$124.30,$129.00,$122.64
05/03/2024,$121.67,8528363,$119.20,$124.20,$115.79
05/02/2024,$116.50,24220790,$119.95,$122.30,$111.45
05/01/2024,$87.09,13906580,$82.58,$91.12,$82.00
04/30/2024,$82.92,3920383,$82.00,$83.63,$80.07
04/29/2024,$83.76,4843861,$85.76,$88.48,$83.35
04/26/2024,$84.31,4904618,$77.95,$84.51,$77.00
04/25/2024,$77.50,3304571,$71.50,$77.53,$71.39
04/24/2024,$75.35,2869892,$76.00,$77.98,$74.88
04/23/2024,$75.62,4327039,$72.79,$77.53,$72.06
04/22/2024,$71.44,4105311,$72.40,$72.99,$67.61
04/19/2024,$71.36,3369825,$69.58,$72.07,$69.47
04/18/2024,$71.15,4732344,$71.75,$73.25,$69.25
04/17/2024,$69.16,3542860,$72.20,$73.39,$67.95
04/16/2024,$70.64,4602821,$68.92,$71.3392,$68.3694
04/15/2024,$69.83,5893141,$74.72,$75.20,$69.12
04/12/2024,$74.99,4137274,$78.65,$79.09,$74.26
04/11/2024,$80.44,4827332,$79.91,$81.48,$76.92
04/10/2024,$80.52,3588310,$80.05,$83.28,$78.65
04/09/2024,$83.68,2622905,$83.84,$84.55,$80.48
04/08/2024,$82.67,2049557,$85.72,$86.86,$82.64
04/05/2024,$83.84,2175784,$81.32,$84.60,$80.91
04/04/2024,$82.44,3733439,$84.00,$86.57,$82.00
