Date,Close/Last,Volume,Open,High,Low
06/24/2024,$318.10,327159,$315.73,$320.56,$312.23
06/21/2024,$316.31,1012872,$319.24,$319.24,$293.02
06/20/2024,$322.40,333332,$328.03,$335.79,$318.6385
06/18/2024,$327.19,313311,$320.62,$328.58,$318.33
06/17/2024,$321.85,296703,$313.36,$325.76,$310.78
06/14/2024,$313.85,263907,$316.85,$324.00,$312.46
06/13/2024,$324.91,301687,$318.00,$325.00,$314.28
06/12/2024,$318.77,354269,$311.08,$323.01,$311.08
06/11/2024,$301.09,346174,$306.40,$308.42,$300.75
06/10/2024,$307.35,226382,$301.12,$307.80,$300.75
06/07/2024,$304.73,271377,$304.59,$308.70,$301.655
06/06/2024,$305.03,297819,$318.57,$320.45,$302.31
06/05/2024,$319.65,495636,$303.20,$321.75,$303.045
06/04/2024,$301.00,693300,$316.27,$317.00,$297.20
06/03/2024,$316.74,481277,$331.66,$331.85,$306.07
05/31/2024,$327.34,498594,$336.13,$343.70,$319.825
05/30/2024,$335.22,234724,$338.26,$341.69,$333.19
05/29/2024,$337.90,276859,$335.39,$341.53,$335.39
05/28/2024,$338.83,396682,$345.20,$346.865,$333.72
05/24/2024,$342.32,347460,$332.09,$343.73,$332.09
05/23/2024,$330.62,299129,$332.06,$336.85,$327.98
05/22/2024,$328.81,321345,$327.70,$331.63,$324.91
05/21/2024,$327.36,256517,$318.51,$327.80,$318.19
05/20/2024,$321.22,331681,$318.94,$321.87,$314.04
05/17/2024,$316.23,489399,$324.00,$326.2775,$315.15
05/16/2024,$321.60,489577,$337.98,$341.01,$319.385
05/15/2024,$339.56,494507,$337.56,$343.97,$334.72
05/14/2024,$334.32,440490,$331.75,$335.68,$317.70
05/13/2024,$332.49,284021,$345.13,$345.75,$332.13
05/10/2024,$344.80,253374,$349.24,$352.4499,$341.555
05/09/2024,$347.21,348848,$347.39,$351.49,$345.02
05/08/2024,$346.21,359720,$342.36,$346.57,$336.66
05/07/2024,$343.63,634050,$333.08,$345.74,$331.0378
05/06/2024,$335.54,508176,$319.08,$337.33,$319.08
05/03/2024,$315.03,363883,$313.00,$317.93,$312.58
05/02/2024,$307.71,284452,$303.61,$308.615,$299.11
05/01/2024,$301.94,301803,$310.00,$311.82,$298.83
04/30/2024,$309.41,406001,$308.41,$314.04,$308.41
04/29/2024,$310.69,448743,$305.26,$311.15,$301.57
04/26/2024,$302.00,662976,$320.01,$323.99,$293.975
04/25/2024,$311.40,459470,$304.58,$314.59,$304.45
04/24/2024,$308.69,330591,$316.27,$319.69,$306.17
04/23/2024,$308.47,334051,$298.26,$308.63,$296.661
04/22/2024,$295.23,228748,$292.90,$299.38,$290.69
04/19/2024,$290.73,411219,$292.50,$295.49,$287.45
04/18/2024,$292.24,324875,$301.52,$303.625,$292.035
04/17/2024,$299.64,374446,$305.29,$305.74,$293.52
04/16/2024,$303.64,221134,$301.07,$306.66,$299.01
04/15/2024,$303.99,250456,$311.62,$314.00,$299.92
04/12/2024,$307.58,230954,$308.63,$312.0348,$306.1244
04/11/2024,$310.14,287285,$304.66,$311.70,$302.95
04/10/2024,$303.76,405547,$298.90,$306.55,$297.68
04/09/2024,$306.15,430598,$324.24,$324.44,$305.00
04/08/2024,$322.13,217430,$325.00,$326.645,$319.35
04/05/2024,$323.40,304076,$313.69,$324.20,$312.75
04/04/2024,$312.50,274332,$325.00,$335.25,$311.98
04/03/2024,$320.56,261411,$311.88,$321.54,$311.88
04/02/2024,$314.02,321956,$315.12,$315.3438,$310.76
04/01/2024,$319.49,287637,$320.00,$323.56,$316.50
03/28/2024,$317.71,238472,$317.85,$320.00,$316.29
03/27/2024,$317.96,251044,$322.42,$322.42,$315.6538
03/26/2024,$318.25,207545,$320.00,$321.29,$317.40
03/25/2024,$318.92,174028,$321.03,$323.82,$318.90
03/22/2024,$321.58,201133,$323.47,$323.65,$318.68
03/21/2024,$323.29,518535,$318.04,$325.33,$317.65
03/20/2024,$314.31,263369,$310.91,$314.99,$309.20
03/19/2024,$310.58,383315,$307.15,$312.95,$307.15
03/18/2024,$309.54,315583,$310.39,$314.91,$307.04
03/15/2024,$308.57,1024467,$301.92,$309.915,$301.92
03/14/2024,$302.44,524955,$300.50,$303.84,$297.705
03/13/2024,$300.06,438239,$302.65,$306.19,$298.834
03/12/2024,$302.03,598488,$297.03,$303.115,$295.45
03/11/2024,$296.77,628958,$308.79,$309.38,$294.82
03/08/2024,$310.02,353374,$317.70,$320.24,$308.38
03/07/2024,$314.26,531801,$313.58,$314.43,$307.39
03/06/2024,$313.51,393405,$315.73,$317.772,$310.94
03/05/2024,$314.93,789550,$317.95,$322.425,$312.87
03/04/2024,$320.20,547238,$314.94,$329.43,$314.94
03/01/2024,$314.43,499927,$305.67,$315.415,$303.0033
02/29/2024,$305.73,644135,$297.17,$306.00,$293.87
02/28/2024,$293.89,500671,$291.15,$294.94,$288.16
02/27/2024,$291.15,432743,$289.01,$292.17,$281.95
02/26/2024,$284.68,523679,$279.93,$285.43,$274.37
02/23/2024,$279.06,775011,$267.90,$292.41,$266.41
02/22/2024,$247.85,350948,$242.84,$250.16,$242.84
02/21/2024,$241.86,337132,$246.46,$246.85,$239.80
02/20/2024,$247.00,408731,$244.38,$247.16,$241.64
02/16/2024,$248.50,297089,$251.18,$252.79,$247.55
02/15/2024,$252.80,441458,$249.98,$253.09,$245.53
02/14/2024,$247.62,270034,$240.87,$247.68,$240.12
02/13/2024,$237.74,382603,$237.00,$240.40,$233.0901
02/12/2024,$243.72,310283,$240.00,$245.85,$238.74
02/09/2024,$240.50,266507,$236.10,$241.37,$235.755
02/08/2024,$237.17,274798,$232.21,$238.34,$232.21
02/07/2024,$231.95,297885,$228.05,$233.9199,$224.94
02/06/2024,$226.56,203881,$224.07,$226.69,$222.87
02/05/2024,$224.07,264201,$228.52,$228.925,$220.99
02/02/2024,$231.29,275077,$222.45,$231.92,$222.45
02/01/2024,$225.00,249017,$219.05,$225.39,$217.55
01/31/2024,$217.47,445764,$222.16,$222.17,$216.28
01/30/2024,$222.18,371311,$212.65,$222.20,$212.65
01/29/2024,$213.00,235820,$207.21,$213.12,$206.84
01/26/2024,$207.35,174589,$206.09,$208.44,$205.77
01/25/2024,$205.54,261408,$203.24,$205.89,$201.61
01/24/2024,$200.49,168686,$205.84,$205.84,$200.15
01/23/2024,$204.14,159251,$210.00,$210.00,$202.1923
01/22/2024,$209.40,153269,$207.23,$209.9599,$206.77
01/19/2024,$204.70,246036,$205.78,$206.68,$200.615
01/18/2024,$204.57,211131,$204.55,$207.32,$202.77
01/17/2024,$202.44,206135,$200.22,$203.825,$198.30
01/16/2024,$202.22,258562,$201.62,$203.58,$200.34
01/12/2024,$203.33,400847,$207.85,$207.885,$203.085
01/11/2024,$205.77,821097,$202.54,$206.16,$200.81
01/10/2024,$203.12,216686,$198.99,$203.31,$198.99
01/09/2024,$198.94,145404,$196.67,$199.885,$194.30
01/08/2024,$198.95,150272,$196.46,$199.25,$195.80
01/05/2024,$195.89,207624,$196.68,$198.62,$195.205
01/04/2024,$197.28,364390,$195.76,$197.95,$195.13
01/03/2024,$195.96,349129,$200.00,$200.00,$194.63
01/02/2024,$202.08,211545,$204.38,$205.89,$200.02
12/29/2023,$205.67,227534,$205.83,$207.82,$205.45
12/28/2023,$206.46,139743,$207.58,$208.29,$205.10
12/27/2023,$207.39,150702,$209.09,$210.71,$206.46
12/26/2023,$209.24,137732,$208.30,$210.25,$207.83
12/22/2023,$207.77,235936,$208.00,$209.79,$206.8084
12/21/2023,$206.53,240042,$208.65,$210.145,$206.155
12/20/2023,$207.08,378345,$206.97,$211.605,$206.05
12/19/2023,$207.24,253102,$205.74,$208.94,$204.5201
12/18/2023,$203.08,292602,$204.74,$206.24,$202.065
12/15/2023,$203.37,6746111,$206.00,$206.00,$201.18
12/14/2023,$205.39,357763,$204.86,$206.73,$201.06
12/13/2023,$200.98,358031,$198.09,$203.90,$196.14
12/12/2023,$198.00,403903,$196.61,$200.35,$196.17
12/11/2023,$196.04,284606,$194.97,$196.3331,$192.06
12/08/2023,$194.01,354270,$188.50,$194.56,$188.50
12/07/2023,$188.87,252183,$187.61,$190.90,$186.5601
12/06/2023,$186.54,260547,$189.10,$192.40,$186.37
12/05/2023,$188.72,443454,$188.13,$190.67,$186.36
12/04/2023,$188.96,551683,$191.83,$192.38,$185.83
12/01/2023,$196.61,284637,$192.60,$197.55,$192.60
11/30/2023,$193.58,325249,$191.90,$193.61,$191.015
