Date,Close/Last,Volume,Open,High,Low
06/24/2024,$204.19,1336798,$202.72,$215.94,$202.69
06/21/2024,$205.91,1319563,$208.17,$209.00,$203.06
06/20/2024,$209.23,1569221,$213.93,$214.79,$205.70
06/18/2024,$213.73,1777476,$199.91,$214.61,$199.12
06/17/2024,$195.41,692242,$191.31,$198.0099,$189.01
06/14/2024,$192.63,815117,$200.38,$200.5725,$190.50
06/13/2024,$200.44,932506,$199.73,$202.2936,$195.625
06/12/2024,$197.32,1486489,$192.57,$202.47,$192.2301
06/11/2024,$189.58,1593353,$182.43,$191.00,$178.4201
06/10/2024,$182.48,950273,$174.19,$182.62,$173.10
06/07/2024,$177.63,917084,$184.69,$184.69,$177.09
06/06/2024,$183.51,1021813,$185.23,$187.34,$182.48
06/05/2024,$184.73,1438898,$189.415,$189.415,$181.5101
06/04/2024,$189.74,1054704,$198.17,$198.49,$189.42
06/03/2024,$196.45,1838996,$188.01,$202.58,$188.01
05/31/2024,$186.91,1432347,$185.20,$187.41,$177.99
05/30/2024,$182.40,1145793,$183.60,$187.30,$181.75
05/29/2024,$183.77,1143488,$191.39,$191.99,$183.42
05/28/2024,$193.24,1481303,$192.80,$193.64,$183.61
05/24/2024,$191.42,2549381,$185.51,$197.85,$184.00
05/23/2024,$184.77,7666929,$172.79,$191.1599,$169.68
05/22/2024,$155.63,2871757,$157.68,$159.81,$155.38
05/21/2024,$158.97,1339139,$154.31,$159.115,$154.11
05/20/2024,$153.77,1873400,$157.05,$158.00,$150.4901
05/17/2024,$158.45,1372445,$163.33,$164.98,$157.66
05/16/2024,$162.26,1318649,$167.50,$168.62,$162.25
05/15/2024,$168.32,1330692,$166.49,$169.765,$164.33
05/14/2024,$161.55,1082438,$162.00,$163.62,$158.09
05/13/2024,$161.73,734328,$165.30,$165.7375,$160.67
05/10/2024,$164.09,1064640,$171.45,$171.51,$162.26
05/09/2024,$170.43,1221029,$162.36,$170.89,$160.9075
05/08/2024,$161.38,803679,$162.47,$164.68,$159.63
05/07/2024,$163.61,893610,$161.84,$165.76,$160.29
05/06/2024,$164.69,914784,$162.36,$166.29,$161.44
05/03/2024,$160.12,1024844,$162.98,$164.90,$158.79
05/02/2024,$160.53,1153312,$161.20,$161.2396,$156.27
05/01/2024,$158.52,1591777,$161.56,$162.58,$154.50
04/30/2024,$162.53,1701336,$171.01,$172.22,$162.23
