Date,Close/Last,Volume,Open,High,Low
06/24/2024,$237.71,272726,$245.13,$245.13,$237.66
06/21/2024,$246.90,820482,$245.05,$248.79,$238.63
06/20/2024,$245.99,640610,$253.54,$257.04,$243.62
06/18/2024,$254.33,574162,$249.02,$256.51,$246.8273
06/17/2024,$248.28,428619,$242.19,$252.32,$241.20
06/14/2024,$240.92,376285,$241.19,$243.56,$236.07
06/13/2024,$245.20,344986,$237.93,$245.25,$234.80
06/12/2024,$237.69,192973,$239.71,$244.74,$237.49
06/11/2024,$233.72,341225,$234.71,$235.74,$230.70
06/10/2024,$237.43,472121,$228.73,$238.305,$228.73
06/07/2024,$230.69,383738,$235.04,$235.04,$229.38
06/06/2024,$236.21,544368,$243.10,$243.1784,$235.51
06/05/2024,$242.71,328800,$236.98,$243.21,$235.88
06/04/2024,$233.26,269176,$237.00,$237.00,$229.435
06/03/2024,$239.19,280619,$245.93,$245.93,$235.7191
05/31/2024,$239.53,416503,$245.83,$248.94,$231.92
05/30/2024,$246.33,311763,$242.34,$247.02,$240.01
05/29/2024,$240.89,426180,$244.00,$245.305,$240.75
05/28/2024,$245.05,308040,$248.67,$250.38,$243.06
05/24/2024,$246.07,400215,$243.12,$247.72,$240.08
05/23/2024,$242.39,755618,$241.26,$248.00,$239.985
05/22/2024,$234.22,297286,$234.05,$236.96,$232.29
05/21/2024,$231.57,375419,$229.54,$231.97,$225.80
05/20/2024,$231.34,339974,$231.14,$234.27,$228.99
05/17/2024,$230.45,540500,$236.66,$236.98,$227.87
05/16/2024,$235.15,383816,$235.92,$238.205,$232.49
05/15/2024,$236.69,440027,$235.00,$238.76,$234.34
05/14/2024,$232.39,551085,$221.90,$232.69,$220.12
05/13/2024,$219.77,414881,$224.41,$224.44,$218.89
05/10/2024,$222.73,523006,$220.00,$223.405,$217.09
05/09/2024,$218.01,552649,$212.68,$218.50,$209.151
05/08/2024,$211.55,602285,$208.36,$212.34,$202.4087
05/07/2024,$209.31,1144135,$209.815,$218.80,$207.275
05/06/2024,$188.83,914077,$180.94,$190.44,$180.73
05/03/2024,$179.22,599682,$179.06,$181.57,$175.965
05/02/2024,$174.19,475422,$175.06,$175.54,$168.765
05/01/2024,$172.61,384777,$171.87,$176.53,$168.57
04/30/2024,$173.07,585135,$175.28,$178.06,$173.02
04/29/2024,$176.00,394186,$175.90,$179.6297,$175.80
04/26/2024,$175.45,218112,$172.93,$177.12,$172.93
04/25/2024,$172.20,278655,$167.38,$172.94,$167.38
04/24/2024,$169.93,340259,$168.48,$172.48,$167.585
