Date,Close/Last,Volume,Open,High,Low
06/24/2024,$101.85,901575,$101.95,$104.05,$101.18
06/21/2024,$102.06,1536078,$100.14,$103.45,$100.14
06/20/2024,$99.38,617327,$99.17,$101.44,$98.91
06/18/2024,$98.54,958729,$94.00,$99.47,$93.46
06/17/2024,$93.75,621435,$92.83,$94.06,$92.80
06/14/2024,$92.88,943595,$92.91,$93.78,$91.73
06/13/2024,$92.35,799521,$93.61,$94.42,$91.36
06/12/2024,$93.81,971707,$97.72,$99.45,$93.38
06/11/2024,$95.74,472254,$96.45,$96.815,$94.80
06/10/2024,$96.88,437225,$97.14,$97.88,$96.31
06/07/2024,$97.66,399691,$98.96,$99.365,$97.16
06/06/2024,$99.87,590272,$99.15,$100.903,$98.99
06/05/2024,$99.59,670679,$97.23,$99.95,$97.23
06/04/2024,$96.80,792880,$96.80,$98.45,$96.04
06/03/2024,$97.21,693594,$96.41,$97.22,$94.965
05/31/2024,$95.48,1173594,$93.91,$96.89,$93.39
05/30/2024,$92.87,680148,$93.86,$94.60,$92.56
05/29/2024,$93.68,524941,$94.23,$95.06,$93.48
05/28/2024,$95.37,541115,$95.00,$95.96,$94.48
05/24/2024,$94.74,535697,$95.14,$95.60,$94.04
05/23/2024,$94.55,602952,$95.22,$95.22,$93.04
05/22/2024,$95.11,742911,$96.74,$97.175,$94.40
05/21/2024,$96.92,900510,$93.26,$97.11,$93.18
05/20/2024,$93.25,527421,$93.52,$94.445,$92.3976
05/17/2024,$93.12,820376,$95.00,$95.35,$92.25
05/16/2024,$94.83,1148576,$95.00,$95.005,$93.6703
05/15/2024,$94.68,716213,$94.32,$95.36,$93.68
05/14/2024,$92.99,778579,$93.22,$93.73,$91.86
05/13/2024,$92.06,644449,$92.37,$92.57,$91.06
05/10/2024,$91.46,1157522,$91.69,$92.90,$90.20
05/09/2024,$91.55,1192278,$97.28,$99.55,$89.535
05/08/2024,$96.52,658801,$97.10,$97.24,$95.75
05/07/2024,$97.84,1044940,$95.23,$98.08,$95.23
05/06/2024,$94.93,466559,$93.66,$95.28,$93.585
05/03/2024,$92.96,430376,$92.44,$93.89,$92.295
05/02/2024,$91.20,669488,$91.25,$91.52,$90.63
05/01/2024,$90.00,438597,$89.26,$91.77,$88.50
04/30/2024,$89.26,550573,$91.35,$91.54,$89.05
04/29/2024,$92.07,446679,$92.37,$92.45,$91.09
04/26/2024,$91.31,415664,$92.78,$93.18,$91.11
04/25/2024,$92.91,538783,$92.07,$92.96,$90.98
04/24/2024,$93.55,624319,$93.54,$93.97,$91.93
04/23/2024,$94.07,906914,$91.39,$94.25,$90.92
04/22/2024,$90.37,584728,$88.49,$90.41,$88.49
04/19/2024,$87.19,585558,$87.64,$88.615,$86.09
04/18/2024,$88.06,647229,$88.66,$89.775,$88.01
04/17/2024,$88.47,674750,$90.61,$90.61,$87.95
04/16/2024,$89.72,685856,$91.46,$91.62,$89.67
04/15/2024,$91.92,539704,$94.04,$94.815,$91.83
04/12/2024,$92.92,340589,$94.46,$95.53,$92.69
04/11/2024,$95.79,527479,$96.52,$96.52,$95.16
04/10/2024,$96.72,858009,$97.99,$99.02,$96.06
04/09/2024,$99.34,353832,$100.69,$101.03,$98.72
04/08/2024,$100.33,456299,$99.41,$101.00,$99.32
04/05/2024,$98.95,751320,$99.05,$100.44,$98.53
04/04/2024,$99.34,450080,$103.05,$103.48,$99.09
04/03/2024,$101.92,519412,$100.01,$102.54,$100.01
04/02/2024,$100.83,637399,$100.00,$101.22,$99.11
04/01/2024,$101.03,388195,$101.90,$103.06,$101.02
03/28/2024,$102.09,698559,$104.50,$105.48,$101.84
03/27/2024,$103.98,432761,$104.85,$105.07,$102.74
03/26/2024,$104.50,655836,$105.54,$106.34,$104.25
03/25/2024,$106.25,493710,$105.29,$106.66,$104.86
03/22/2024,$104.88,726710,$108.48,$108.90,$104.84
03/21/2024,$107.20,834386,$103.41,$107.59,$103.17
03/20/2024,$102.69,486291,$100.72,$103.14,$100.655
03/19/2024,$100.27,444258,$98.99,$100.60,$98.99
03/18/2024,$99.42,487623,$100.41,$100.78,$99.085
03/15/2024,$99.81,1113503,$99.83,$101.29,$99.05
03/14/2024,$100.60,770556,$101.82,$102.27,$99.73
03/13/2024,$102.11,637610,$101.63,$103.10,$101.415
03/12/2024,$101.83,746839,$100.18,$102.227,$99.67
03/11/2024,$100.30,531768,$100.50,$100.68,$98.68
03/08/2024,$101.34,578670,$101.71,$103.1107,$100.77
03/07/2024,$101.83,594667,$100.73,$102.61,$100.50
03/06/2024,$100.78,613436,$100.19,$100.88,$99.04
03/05/2024,$99.16,449050,$99.66,$100.26,$98.67
03/04/2024,$100.71,492489,$102.54,$103.04,$100.295
03/01/2024,$102.44,667332,$100.04,$102.63,$99.00
02/29/2024,$100.51,945562,$98.67,$100.885,$97.51
02/28/2024,$97.45,948996,$100.00,$101.00,$95.26
02/27/2024,$96.60,981914,$94.92,$97.35,$94.40
02/26/2024,$95.07,733583,$93.22,$95.23,$92.53
02/23/2024,$93.65,937791,$90.99,$94.125,$90.99
02/22/2024,$91.00,440901,$88.49,$91.092,$88.49
02/21/2024,$88.17,521966,$87.61,$88.61,$87.275
02/20/2024,$88.14,559691,$88.34,$89.14,$86.85
02/16/2024,$89.71,408740,$88.88,$90.57,$88.815
02/15/2024,$89.13,466810,$88.51,$89.55,$87.64
02/14/2024,$88.12,687349,$85.36,$88.38,$84.56
02/13/2024,$84.55,526919,$86.06,$86.06,$83.906
02/12/2024,$88.68,994000,$88.53,$89.15,$88.19
02/09/2024,$88.22,610263,$86.20,$88.64,$86.185
02/08/2024,$85.45,369717,$84.86,$86.05,$84.01
02/07/2024,$84.03,480618,$82.97,$84.24,$82.41
02/06/2024,$82.30,735470,$81.00,$83.25,$80.84
02/05/2024,$80.83,488472,$80.04,$81.16,$79.225
02/02/2024,$81.16,272819,$80.72,$81.81,$80.43
02/01/2024,$81.51,423133,$80.57,$82.00,$80.57
01/31/2024,$80.38,360634,$82.52,$82.52,$80.26
01/30/2024,$82.46,354998,$82.33,$83.27,$81.92
01/29/2024,$82.79,922153,$81.86,$82.89,$81.17
01/26/2024,$82.12,283808,$82.87,$82.95,$81.66
01/25/2024,$82.49,528836,$84.55,$84.82,$81.94
01/24/2024,$83.37,744726,$84.00,$84.64,$83.05
01/23/2024,$82.92,936787,$82.66,$83.135,$81.93
01/22/2024,$81.57,378063,$82.49,$83.19,$81.05
01/19/2024,$81.89,434014,$82.79,$82.79,$80.745
01/18/2024,$82.24,447236,$80.08,$82.525,$80.08
01/17/2024,$79.75,572605,$79.25,$80.105,$77.65
01/16/2024,$79.73,594505,$79.67,$80.605,$78.90
01/12/2024,$79.98,285338,$81.43,$81.435,$79.28
01/11/2024,$80.45,506970,$79.49,$80.48,$78.78
01/10/2024,$79.09,394905,$77.48,$79.16,$77.29
01/09/2024,$77.60,727885,$76.94,$77.60,$76.52
01/08/2024,$77.88,319633,$77.63,$78.01,$76.96
01/05/2024,$77.60,313018,$77.56,$78.88,$77.39
01/04/2024,$78.11,408594,$79.77,$79.77,$77.82
01/03/2024,$78.92,398818,$81.14,$81.14,$78.87
01/02/2024,$81.14,400806,$81.56,$81.945,$80.61
12/29/2023,$82.11,358093,$82.60,$83.32,$81.67
12/28/2023,$82.99,383914,$82.66,$83.535,$81.92
12/27/2023,$82.99,404912,$83.50,$83.745,$82.40
