Date,Close/Last,Volume,Open,High,Low
06/24/2024,$1372.15,1608074,$1398.00,$1448.8997,$1325.5414
06/21/2024,$1483.76,1149463,$1420.00,$1491.05,$1409.02
06/20/2024,$1465.40,909760,$1482.11,$1505.59,$1422.06
06/18/2024,$1469.43,893368,$1457.93,$1510.95,$1446.00
06/17/2024,$1507.26,1207636,$1499.80,$1569.01,$1421.1687
06/14/2024,$1495.54,1379009,$1505.00,$1538.00,$1461.51
06/13/2024,$1483.88,2110766,$1563.30,$1573.76,$1441.01
06/12/2024,$1603.67,1368125,$1620.00,$1692.71,$1591.765
06/11/2024,$1555.49,1141182,$1542.00,$1564.15,$1486.60
06/10/2024,$1599.92,726460,$1575.01,$1647.76,$1560.2903
06/07/2024,$1596.20,1262688,$1671.02,$1717.70,$1585.00
06/06/2024,$1656.63,1162291,$1698.59,$1734.6977,$1647.05
06/05/2024,$1694.69,1095585,$1675.00,$1717.84,$1636.2401
06/04/2024,$1638.77,1322951,$1617.42,$1697.00,$1615.00
06/03/2024,$1627.41,1122236,$1601.00,$1656.00,$1560.4166
05/31/2024,$1524.49,2215356,$1597.00,$1614.82,$1442.00
05/30/2024,$1541.00,1477645,$1653.00,$1714.99,$1531.955
05/29/2024,$1618.70,734425,$1650.00,$1659.07,$1611.18
05/28/2024,$1675.35,1079936,$1650.00,$1691.55,$1610.0201
05/24/2024,$1684.84,1206856,$1540.00,$1684.995,$1528.00
05/23/2024,$1544.07,1158811,$1669.21,$1670.00,$1530.3257
05/22/2024,$1647.00,1033930,$1663.00,$1718.00,$1620.15
05/21/2024,$1655.42,1297751,$1730.00,$1740.00,$1645.00
05/20/2024,$1727.24,1671697,$1597.00,$1728.96,$1551.42
05/17/2024,$1584.50,1652932,$1500.98,$1584.9999,$1469.00
05/16/2024,$1439.98,1365555,$1494.10,$1518.90,$1435.45
05/15/2024,$1503.47,2058643,$1379.60,$1520.34,$1351.09
05/14/2024,$1297.63,926786,$1226.48,$1298.69,$1226.48
05/13/2024,$1245.96,875725,$1217.94,$1264.1512,$1203.00
05/10/2024,$1180.48,1403844,$1289.99,$1301.99,$1178.53
05/09/2024,$1263.64,1053370,$1230.00,$1303.00,$1200.99
05/08/2024,$1233.12,859016,$1198.39,$1259.8977,$1190.00
05/07/2024,$1257.45,996768,$1278.20,$1318.9999,$1251.30
05/06/2024,$1268.81,1387032,$1273.85,$1339.00,$1260.10
05/03/2024,$1223.01,1560962,$1201.01,$1242.00,$1172.82
05/02/2024,$1129.42,1540225,$1055.00,$1142.3019,$1041.7619
05/01/2024,$1028.27,1924884,$1015.53,$1109.325,$1010.00
04/30/2024,$1065.03,2493603,$1199.01,$1215.42,$1063.17
04/29/2024,$1292.97,1013073,$1250.00,$1308.4158,$1228.42
04/26/2024,$1282.38,881462,$1225.00,$1285.97,$1204.01
04/25/2024,$1240.41,773403,$1226.00,$1267.72,$1201.1398
04/24/2024,$1265.67,951186,$1327.01,$1345.00,$1260.00
04/23/2024,$1338.64,1047846,$1311.00,$1394.4505,$1298.89
04/22/2024,$1324.01,1941069,$1209.00,$1347.902,$1208.00
04/19/2024,$1174.11,1474654,$1237.00,$1258.6499,$1166.241
04/18/2024,$1208.16,1769671,$1192.00,$1287.88,$1168.43
04/17/2024,$1188.05,2037397,$1258.00,$1264.22,$1131.99
04/16/2024,$1254.03,1729229,$1306.02,$1328.50,$1215.1501
04/15/2024,$1335.88,1612542,$1470.00,$1489.97,$1321.05
04/12/2024,$1479.58,1290564,$1535.00,$1537.82,$1433.00
04/11/2024,$1551.81,1438591,$1543.00,$1578.37,$1510.09
04/10/2024,$1566.00,1939188,$1387.50,$1566.00,$1373.77
04/09/2024,$1441.02,1671666,$1478.10,$1480.1672,$1375.00
04/08/2024,$1512.99,2057363,$1602.10,$1623.78,$1491.2001
04/05/2024,$1439.00,2273995,$1570.00,$1674.25,$1432.00
04/04/2024,$1615.42,2017134,$1692.98,$1739.72,$1610.1001
04/03/2024,$1606.11,1977245,$1580.01,$1699.49,$1568.3201
04/02/2024,$1578.83,1854584,$1492.00,$1592.29,$1462.9429
04/01/2024,$1636.74,1992954,$1645.01,$1690.19,$1586.56
03/28/2024,$1704.56,4555914,$1943.00,$1989.00,$1645.515
03/27/2024,$1919.16,2622609,$1953.00,$1999.99,$1842.0001
03/26/2024,$1876.99,2393890,$1882.43,$1909.50,$1792.00
03/25/2024,$1856.00,3884027,$1605.00,$1873.65,$1594.42
03/22/2024,$1523.00,2083618,$1520.00,$1594.49,$1490.00
03/21/2024,$1599.29,3158981,$1594.12,$1704.3635,$1581.02
03/20/2024,$1546.52,3331432,$1423.01,$1549.9999,$1363.01
03/19/2024,$1417.50,4464413,$1326.07,$1450.00,$1230.12
03/18/2024,$1502.76,4511120,$1718.45,$1734.9001,$1445.01
03/15/2024,$1782.36,4474994,$1600.01,$1815.00,$1570.00
03/14/2024,$1676.85,4986759,$1708.01,$1746.00,$1550.77
03/13/2024,$1766.15,3775945,$1660.00,$1774.00,$1620.00
03/12/2024,$1593.35,3548865,$1544.00,$1594.97,$1438.0022
03/11/2024,$1484.23,4102423,$1550.00,$1657.06,$1477.35
03/08/2024,$1425.59,3741774,$1328.04,$1451.73,$1283.6639
03/07/2024,$1300.02,2167716,$1284.98,$1321.04,$1225.00
03/06/2024,$1246.21,3693999,$1140.00,$1285.55,$1131.101
03/05/2024,$1051.01,5736628,$1244.19,$1337.7899,$1035.06
03/04/2024,$1334.01,5424989,$1200.00,$1359.91,$1190.01
03/01/2024,$1079.39,2696436,$996.00,$1080.00,$992.00
02/29/2024,$1022.84,3520603,$999.00,$1040.00,$960.4436
02/28/2024,$962.95,4838819,$952.00,$1008.88,$915.50
02/27/2024,$871.80,2274761,$866.10,$890.00,$841.76
02/26/2024,$796.48,2269529,$687.94,$809.9499,$687.94
02/23/2024,$687.44,739284,$699.01,$704.285,$678.06
02/22/2024,$713.15,1042512,$683.70,$723.2499,$679.99
02/21/2024,$672.80,703306,$684.30,$685.38,$664.2565
02/20/2024,$704.98,968005,$710.79,$721.98,$670.27
02/16/2024,$699.56,1340711,$735.00,$740.00,$689.38
02/15/2024,$718.00,2382769,$792.44,$806.78,$707.5139
02/14/2024,$769.88,2070474,$746.00,$774.84,$734.165
02/13/2024,$686.02,1391453,$675.00,$701.2199,$655.55
02/12/2024,$717.52,2309973,$651.99,$725.27,$650.17
02/09/2024,$646.32,2468457,$627.40,$648.90,$614.115
02/08/2024,$587.81,2263110,$530.00,$588.46,$525.05
02/07/2024,$508.01,1099748,$499.47,$508.63,$467.49
02/06/2024,$498.00,689874,$493.30,$509.1923,$493.12
02/05/2024,$490.60,859930,$502.00,$503.48,$482.00
02/02/2024,$500.10,609800,$497.25,$509.00,$491.0001
02/01/2024,$503.48,628083,$501.80,$515.06,$495.9601
01/31/2024,$501.21,937963,$508.00,$527.89,$499.4275
