Date,Close/Last,Volume,Open,High,Low
06/24/2024,$213.40,631884,$214.94,$217.45,$212.135
06/21/2024,$216.40,938602,$219.20,$219.75,$207.60
06/20/2024,$221.79,584761,$230.28,$230.99,$219.20
06/18/2024,$229.35,730451,$222.63,$233.045,$220.66
06/17/2024,$222.64,420529,$220.01,$223.20,$216.315
06/14/2024,$219.45,339306,$218.98,$222.18,$216.44
06/13/2024,$223.58,314844,$225.00,$226.26,$221.22
06/12/2024,$224.76,400059,$223.58,$232.02,$221.77
06/11/2024,$218.36,341427,$217.44,$218.51,$213.06
06/10/2024,$218.28,403633,$213.40,$221.00,$212.66
06/07/2024,$217.20,414461,$217.17,$221.54,$214.99
06/06/2024,$217.07,387510,$221.21,$224.77,$215.00
06/05/2024,$221.98,492250,$214.34,$225.00,$213.17
06/04/2024,$208.98,422295,$212.78,$215.21,$206.4401
06/03/2024,$215.50,493711,$220.46,$220.46,$208.59
05/31/2024,$216.70,718679,$221.60,$222.86,$209.58
05/30/2024,$222.58,437357,$226.52,$226.665,$220.72
05/29/2024,$226.68,439306,$225.75,$230.50,$222.54
05/28/2024,$229.94,496691,$235.51,$235.51,$226.955
05/24/2024,$233.14,261678,$229.01,$235.6998,$227.61
05/23/2024,$227.52,420673,$235.84,$238.13,$225.31
05/22/2024,$228.87,394975,$232.49,$233.32,$227.25
05/21/2024,$230.58,241465,$226.70,$231.295,$224.37
05/20/2024,$227.70,417895,$224.13,$231.70,$224.13
05/17/2024,$223.50,436489,$225.63,$227.4938,$220.70
05/16/2024,$223.97,507038,$233.02,$235.4158,$223.25
05/15/2024,$233.63,469390,$230.72,$234.71,$228.36
05/14/2024,$228.30,449438,$221.51,$229.35,$219.40
05/13/2024,$221.62,548241,$224.50,$227.87,$219.855
05/10/2024,$224.35,999137,$227.16,$233.84,$215.18
05/09/2024,$208.42,677069,$207.93,$212.41,$207.84
05/08/2024,$206.15,379975,$207.79,$209.275,$204.485
05/07/2024,$211.13,740274,$208.14,$213.47,$207.99
05/06/2024,$208.65,470836,$202.42,$210.1121,$202.31
05/03/2024,$200.80,636730,$200.00,$204.39,$197.27
05/02/2024,$195.71,644260,$188.13,$195.77,$186.505
05/01/2024,$185.23,619262,$184.00,$191.34,$179.25
04/30/2024,$185.49,760399,$189.00,$192.59,$185.35
04/29/2024,$190.22,372500,$189.15,$191.10,$187.67
04/26/2024,$189.77,398909,$183.65,$191.04,$180.96
04/25/2024,$182.33,572469,$175.56,$182.43,$173.3661
04/24/2024,$176.76,291120,$180.12,$180.615,$174.4695
04/23/2024,$176.10,343897,$172.64,$177.86,$171.1783
04/22/2024,$170.77,505607,$170.15,$170.92,$167.41
04/19/2024,$169.39,606594,$177.11,$177.62,$166.6501
04/18/2024,$177.63,692661,$179.79,$182.83,$176.165
04/17/2024,$181.94,491680,$188.31,$188.595,$180.75
04/16/2024,$189.72,400738,$184.13,$190.52,$182.91
04/15/2024,$183.07,246880,$186.00,$189.58,$181.48
04/12/2024,$184.12,346922,$186.58,$188.95,$182.20
04/11/2024,$191.35,250712,$185.10,$191.62,$183.68
04/10/2024,$184.33,335006,$183.67,$187.915,$180.6966
04/09/2024,$187.80,349981,$192.37,$192.37,$185.21
04/08/2024,$189.88,262315,$190.31,$192.37,$188.455
